Age,MP_x,PF,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,BPM,NumOfAwards,All-Star,AwardWinner,FirstTeam,SecondTeam,ThirdTeam,DefTeam1,DefTeam2,Next_Year_Salary,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
30.0,33.3,2.4,0.607,7.4,22.5,1.4,1.3,14.2,22.7,0.4,0,0,0,0,0,0,0,0,50203930,0,0,0,0,1
20.0,26.6,1.6,0.54,11.7,18.1,1.5,0.6,12.2,15.4,-0.1,1,0,0,0,0,0,0,0,3519960,0,0,0,0,1
27.0,22.3,1.3,0.548,13.1,12.2,1.8,4.2,4.6,20.8,1.0,0,0,0,0,0,0,0,0,12500000,0,1,0,0,0
26.0,32.9,2.3,0.578,8.6,26.7,1.2,1.9,12.4,27.2,1.2,0,0,0,0,0,0,0,0,36016200,0,0,0,1,0
21.0,32.2,2.5,0.552,7.4,11.6,1.4,1.6,10.2,23.9,-2.6,1,0,0,0,0,0,0,0,11424600,0,0,0,1,0
20.0,18.3,1.3,0.511,9.6,13.0,1.1,0.9,16.6,20.3,-5.5,0,0,0,0,0,0,0,0,2571480,0,0,0,1,0
35.0,30.5,2.4,0.608,9.3,7.1,0.9,6.7,8.8,16.0,1.0,0,0,0,0,0,0,0,0,23000000,1,0,0,0,0
27.0,27.9,2.2,0.563,8.5,13.2,1.5,0.8,11.8,16.5,-3.3,0,0,0,0,0,0,0,0,23000000,0,0,0,0,1
25.0,15.2,2.4,0.615,15.4,9.3,1.8,3.7,16.1,16.7,-2.3,0,0,0,0,0,0,0,0,1115128,1,0,0,0,0
31.0,25.7,2.0,0.578,7.0,14.5,1.6,1.6,10.5,19.2,0.4,0,0,0,0,0,0,0,0,8780488,0,0,0,1,0
32.0,32.7,1.9,0.592,7.4,21.4,1.4,1.9,9.0,24.7,3.1,0,0,0,0,0,0,0,0,33333333,0,0,1,0,0
22.0,33.5,2.5,0.546,7.2,37.5,1.3,0.9,14.1,30.8,0.3,0,0,0,0,0,0,0,0,13940809,0,0,1,0,0
21.0,13.8,1.0,0.582,6.1,4.8,0.9,0.5,6.9,12.5,-1.9,0,0,0,0,0,0,0,0,2019699,0,0,0,1,0
28.0,27.4,2.0,0.531,9.1,11.8,1.3,1.6,11.3,17.3,-2.0,0,0,0,0,0,0,0,0,9186594,0,0,0,1,0
24.0,20.5,1.3,0.504,5.6,6.0,2.3,1.2,10.7,12.7,-3.2,0,0,0,0,0,0,0,0,2463946,0,0,0,1,0
22.0,31.4,2.1,0.554,5.6,15.7,1.1,0.7,8.5,30.5,-1.2,0,0,0,0,0,0,0,0,4041249,0,0,0,0,1
19.0,18.7,1.4,0.561,11.0,6.0,1.7,1.8,8.2,27.1,0.1,0,0,0,0,0,0,0,0,3379080,0,0,0,1,0
27.0,27.6,1.8,0.582,8.6,12.9,1.5,0.8,7.9,19.6,0.4,0,0,0,0,0,0,0,0,22500000,0,1,0,0,0
29.0,16.7,1.6,0.566,4.9,21.9,1.6,0.8,11.4,19.1,-1.1,0,0,0,0,0,0,0,0,2087519,0,0,1,0,0
29.0,16.7,1.6,0.566,4.9,21.9,1.6,0.8,11.4,19.1,-1.1,0,0,0,0,0,0,0,0,2087519,0,0,1,0,0
29.0,28.8,1.8,0.524,8.0,25.7,1.9,1.6,11.4,23.1,0.2,0,0,0,0,0,0,0,0,16615384,0,0,0,0,1
20.0,20.6,1.6,0.612,6.2,8.9,2.2,2.0,8.9,12.9,0.1,0,0,0,0,0,0,0,0,5555880,0,0,0,0,1
23.0,10.8,1.6,0.739,20.0,14.1,1.9,6.9,26.0,11.9,1.3,0,0,0,0,0,0,0,0,2087519,1,0,0,0,0
21.0,29.4,2.4,0.632,15.0,11.6,1.1,7.3,10.9,21.6,3.4,1,0,0,0,0,0,0,0,10880640,1,0,0,0,0
31.0,14.1,1.4,0.625,16.1,4.5,1.0,3.0,9.8,17.3,-1.7,0,0,0,0,0,0,0,0,10810000,0,1,0,0,0
26.0,12.2,1.4,0.512,8.3,7.8,1.9,1.0,10.4,14.9,-3.4,0,0,0,0,0,0,0,0,5893768,0,0,0,1,0
20.0,4.3,0.7,0.547,12.8,7.2,1.1,0.0,17.4,13.8,-8.0,0,0,0,0,0,0,0,0,1891857,0,0,0,1,0
38.0,26.4,1.9,0.544,7.9,33.4,2.2,0.4,13.4,15.6,1.0,0,0,0,0,0,0,0,0,10460000,0,0,1,0,0
22.0,20.2,1.7,0.554,10.2,10.2,1.3,1.8,9.2,15.7,-1.9,0,0,0,0,0,0,0,0,3089640,0,0,0,0,1
28.0,17.4,1.4,0.568,16.2,7.4,0.9,3.3,14.1,17.6,-2.8,0,0,0,0,0,0,0,0,3036040,0,1,0,0,0
25.0,9.2,0.4,0.465,10.9,6.2,1.0,1.5,12.2,13.3,-3.4,0,0,0,0,0,0,0,0,119972,0,0,0,1,0
